Above  Over
Garbage  Trash
Raise  Lift
Uto  Car
Woman  Lady
Stone  Rock
Large  Big 
Infant  Baby
Street  Road
Small  Tiny
Shut  Close
near  Close
Stop  Cease
One  Possess
Reply  Answer
Exit  Leave
False  Untrue
Happy  Glad
Rest  Relax
Ill  Sick
Under  Below
Shout  Yell
Hard  Difficult
Fast  Quick
Strange  Odd
Rug  Carpet
Evil  Bad
Speak  Talk
Shop  Store
Sniff Smell
Sack  Bag
Bucket  Pail
Couch  Sofa
Funny  Silly
See  Look
Pull  Tug
Clever  Smart
Alike  Same
Angry  Mad
Present  Gift
Hat  Cap
Jog  Run
Listen  Hear
Shack  Hut
Father  Dad
Mother  Mom
Leap  Jump
ired  Sleepy
Bunny  Rabbit
Chef  Cook
Crate  Box
House  Home
Crash  Accident 
Taxi  Cab




